"return_sequence","returned_batch_id","returned_at_hkt","batch_kind","source_ai_batch_id","prompt_version","model_id","surface","position","candidate_id","pool_position","selection_role","question","preview","body","domain","topic_key","question_job","content_horizon","event_family","claim_mode","event_hypothesis_summary","primary_time_window_key","referenced_window_keys","valid_from","valid_until","fact_refs"
"26","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","1","bff46387-c57c-4439-9442-5f2c66e9d01f","1","p1_mingli_change","今年职场压力为何如此之大？","七杀流年坐实，事业上面临硬仗，但也藏着突破机会。","2026丙午年，丙火七杀透出，午火正官冲动你的日支。这种‘官杀混杂’且冲动根基的象，代表职场环境变动频繁。你可能会感到上级要求严苛，或者工作内容超出了舒适区。这种冲动虽然带来压力，但也预示着如果你能扛住挑战，会有实质性的职位晋升或权力扩张。","career","decision_and_pressure","explain","year","direct_activation","description","流年丙午七杀坐旺，且冲动日支，今年职场压力显著，面临岗位变动或管理层调整的挑战。","liunian:2026:丙午","liunian:2026:丙午","2026-02-04","2027-02-03","time:liunian:2026:丙午:timing | time:liunian:2026:丙午:interaction:liunian_to_natal:branch_clash:liunian::丙午__natal_pillar:day:庚子 | time:liunian:2026:丙午:interaction:liunian_to_natal:stem_control_clash:liunian::丙午__natal_pillar:day:庚子"
"27","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","2","d4481e0b-733a-43a8-88c7-15b802eb4c82","2","p1_mingli_change","下个月会有新的缘分出现吗？","申子半合引动情缘，社交圈中可能藏着惊喜。","从8月7日立秋开始，你将进入丙申流月。申金作为你的比肩，与日支子水构成申子半合，这是一种‘合入’的能量。对于单身者来说，这意味着社交机会增多，容易通过朋友介绍或职场合作结识新朋友。这种关系通常从志同道合的伙伴开始，值得你多留意身边的互动。","love","new_connection","forecast","month","new_connection","possibility","即将进入的丙申月，申子半合引动夫妻宫，单身者有望在社交或职场中遇到志趣相投的对象。","liuyue:2026-08-07:丙申","liuyue:2026-08-07:丙申","2026-08-07","2026-09-06","time:liuyue:2026-08-07:丙申:interaction:liuyue_to_natal:branch_half_harmony:liuyue::丙申__natal_pillar:day:庚子 | time:liuyue:2026-08-07:丙申:interaction:liuyue_to_natal:stem_control_clash:liuyue::丙申__natal_pillar:day:庚子"
"28","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","3","f77132e1-64da-47b6-9f01-e25a173a231c","3","p1_mingli_change","下个月理财需要注意什么？","财星受穿，支出可能超支，建议提前做好预算。","即将到来的丙申月，流月支申金与年支亥水相穿。亥水是你命局中的财星，受穿代表财源受损或意外支出。这可能表现为电子设备损坏、社交应酬超支，或是原本看好的投资出现波动。建议在8月尽量避免大额借贷或盲目跟风投资，守住现金流是首选。","wealth","spending_and_risk","act","month","friction","possibility","丙申月申金穿害年支亥水财星，下月需警惕因突发状况或朋友借贷导致的财务损失。","liuyue:2026-08-07:丙申","liuyue:2026-08-07:丙申","2026-08-07","2026-09-06","time:liuyue:2026-08-07:丙申:interaction:liuyue_to_natal:branch_piercing:liuyue::丙申__natal_pillar:year:乙亥 | time:liuyue:2026-08-07:丙申:interaction:liuyue_to_dayun:stem_control_clash:dayun::癸未__liuyue::丙申"
"29","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","4","ee649422-a67c-4383-9f8d-9691b238065d","6","p1_mingli_change","最近总觉得累，是身体在提醒什么？","土水相战影响能量代谢，本周建议规律作息。","当前乙未月，未土力量极强，对你日支的子水构成了严重的克制。子水代表你的元气与代谢系统，受克时容易出现精力不济、腰酸或睡眠质量下降的情况。在流月交替之际，建议减少熬夜，多补充水分，避免高强度的体力消耗，给身体一个喘息的机会。","health","energy_and_rhythm","act","month","adjustment","possibility","未土旺相克制子水伤官，近期容易感到精神疲惫，需注意肾脏或泌尿系统的保养。","liuyue:2026-07-07:乙未","liuyue:2026-07-07:乙未","2026-07-07","2026-08-06","time:liuyue:2026-07-07:乙未:timing | time:liuyue:2026-07-07:乙未:interaction:liuyue_to_natal:branch_piercing:liuyue::乙未__natal_pillar:day:庚子"
"30","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","5","b4b3b958-de0a-46e8-aff3-9668c01958d1","7","p3_diversity","明年的事业会有质的飞跃吗？","官星合入，明年是职业声望提升的关键年。","展望2027丁未年，丁火正官透出，且未土与你命局中的亥水构成亥未拱合木局（财局）。这代表明年你的工作表现容易得到上级的赏识，甚至会有带薪升职或承接重大项目的机会。相比今年的压力，明年更多是实实在在的收获。现在开始积累人脉，明年将大有可为。","career","opportunity_and_change","forecast","year","opportunity","possibility","2027丁未年官星透出，且与原局亥水拱合，预示明年有获得官方认可或重要职位的机会。","liunian:2027:丁未","liunian:2027:丁未","2027-02-04","2028-02-03","time:liunian:2027:丁未:timing | time:liunian:2027:丁未:interaction:liunian_to_natal:branch_arch_harmony:liunian::丁未__natal_pillar:hour:丁亥 | time:liunian:2027:丁未:interaction:liunian_to_natal:branch_arch_harmony:liunian::丁未__natal_pillar:year:乙亥"
"31","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","6","2f15ce10-5b80-4730-b4a5-bf36fbbb61a0","9","p3_diversity","年底的感情生活会有大变动吗？","日柱伏吟流月，情感关系可能迎来‘分水岭’。","2026年12月是庚子月，与你的日柱完全相同。在命理中，这叫‘伏吟’，往往代表一种重复或转折。如果你已有伴侣，年底可能会讨论结婚、同居等重大议题；如果是单身，可能会遇到一个让你感觉‘似曾相识’的人。由于流年冲动，这个过程可能伴随波折，需谨慎应对。","love","relationship_progress","forecast","month","relationship_progress","possibility","2026年底庚子月，岁运并临日柱，感情生活将面临重大抉择或关系的实质性推进。","liuyue:2026-12-07:庚子","liuyue:2026-12-07:庚子","2026-12-07","2027-01-04","time:liuyue:2026-12-07:庚子:timing | time:liuyue:2026-12-07:庚子:interaction:liuyue_to_natal:branch_same:liuyue::庚子__natal_pillar:day:庚子 | time:liuyue:2026-12-07:庚子:interaction:liuyue_to_liunian:branch_clash:liunian::丙午__liuyue::庚子"
"32","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","deck","7","dc77a73b-b1ef-438b-b6af-170418708007","10","p1_mingli_change","今年除了工资，还有其他进账吗？","官杀流年虽累，但勤奋工作带来的奖金回报可观。","虽然2026年你感到压力巨大，但午火也是财星的‘长生’位。这意味着你的努力不会白费，尤其是在下半年，通过解决棘手问题或完成高难度任务，你很有可能获得一笔丰厚的绩效奖金或提成。对于有副业的人来说，今年也是一个通过专业口碑吸引客户的好时机。","wealth","income_opportunity","forecast","year","opportunity","possibility","流年午火为财星长生之地，虽有冲克，但通过副业或绩效奖金获得额外收入的机会增加。","liunian:2026:丙午","liunian:2026:丙午","2026-02-04","2027-02-03","time:liunian:2026:丙午:timing | time:liunian:2026:丙午:interaction:liunian_to_natal:branch_half_harmony:liunian::丙午__natal_pillar:month:丙戌"
"33","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","center","0","91a73d39-1bc3-46dd-af94-a7bdf017eb05","4","p2_interest_match","这十年我的事业重心该在哪？","伤官大运主聪明才智，靠专业技能立身是关键。","你目前处于癸未大运（2025-2034）。癸水伤官透出，代表你的表达欲和创造力处于巅峰。这十年你不再满足于机械的工作，更倾向于有挑战性、能体现个人价值的领域。虽然未土穿子水会带来一些职场人际的磕碰，但只要坚持专业深耕，你的才华终会被市场认可。","career","career_direction","explain","phase","cycle_background","description","癸未大运伤官透出，这十年是你才华爆发期，适合从事创意、技术或咨询类工作。","dayun:2025:癸未","dayun:2025:癸未","2025-02-15","2035-02-14","time:dayun:2025:癸未:timing | time:dayun:2025:癸未:interaction:dayun_to_natal:branch_piercing:dayun::癸未__natal_pillar:day:庚子 | time:dayun:2025:癸未:interaction:dayun_to_natal:stem_control_clash:dayun::癸未__natal_pillar:hour:丁亥"
"34","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","center","1","0b2dc9d6-1abf-4dbf-a954-25b6c6059b2b","5","p2_baseline","我在感情中到底在追求什么？","乙庚合显示了你的深情与务实，了解你的情感底色。","你的日主庚金与年干乙木正财相合，这在命理中称为‘财来合我’。这代表你骨子里是一个非常务实且有责任感的人。在感情中，你不仅看重精神共鸣，更看重对方是否能与你一起构建稳定的物质基础。你倾向于长久、有结果的关系，而非短暂的激情。","love","emotional_pattern","describe","baseline","baseline_pattern","description","原局乙庚相合，财星合身，你对感情态度认真且倾向于寻找能共同经营生活的伴侣。","","","1995-11-05","","natal:pillar:year | natal:pillar:day | natal:interaction:natal:stem_five_combination:natal_pillar:day:庚子__natal_pillar:year:乙亥"
"35","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","center","2","b9e16b5c-165e-49a5-9df7-bc9695e59ed3","8","p2_baseline","我的财运天赋在哪里？","食神生财格，你的智慧就是你最大的财富来源。","你命局中亥水食神双显，且年干乙木财星合身。这说明你不是靠体力赚钱的人，而是靠‘脑子’。亥水代表智慧、技术和长远的眼光。你擅长发现市场中别人看不见的细微机会，并通过自己的专业表达将其转化为收益。保持对新技术的敏感度，是你财富增长的核心。","wealth","wealth_overview","explain","baseline","baseline_pattern","description","原局食神生财且财星合身，具备优秀的商业直觉，适合通过技术或创意变现。","","","1995-11-05","","natal:pillar:year | natal:pillar:hour | natal:interaction:natal:stem_five_combination:natal_pillar:day:庚子__natal_pillar:year:乙亥"
"36","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","2026-08-05T15:21:23+08:00","ai","3ab44c81-18ca-4d1a-b31e-a2d6fb2771ab","recommendation_prompt_v5","gemini-3-flash-preview","center","3","c10d2e62-835c-42a6-bfcf-dd05676eee00","11","p2_baseline","我最适合学习哪类技能？","文昌入命，你在深度思考和表达上有天然优势。","你命局中亥水双显且带文昌贵人，这赋予了你极佳的学习悟性。你不仅能快速掌握复杂的技术逻辑，还能将其转化为易懂的语言。因此，编程、写作、法律或任何需要严密逻辑与表达的领域都非常适合你。这种‘食神’的能量让你在钻研感兴趣的领域时，能达到常人难以企及的深度。","study","learning_strengths","describe","baseline","baseline_pattern","description","原局带文昌贵人且食神旺相，具备极强的逻辑分析能力和语言天赋。","","","1995-11-05","","natal:pillar:year | natal:pillar:hour | natal:pillar:month"
